row_no,timestamp_iso,symbol,action,direction,qty,a_side,b_side,lat_a_age_ms,lat_b_age_ms,lat_leg_skew_ms,a_minus_b_ms,a_minus_recv_ms,b_minus_recv_ms,a_send_price,a_fill_price,b_send_price,b_fill_price,a_adverse_slippage_usdt,b_adverse_slippage_usdt,total_adverse_slippage_usdt,net_pnl
59,2026-06-11T06:45:42.316Z,EPICUSDT,close,+a-b,12,buy,sell,535.0,54.0,481.0,-481.0,-535.0,-54.0,0.542,0.5420217,0.5433,0.5433,0.0002604000000001605,0.0,0.0002604000000001605,0.008828069999999855
60,2026-06-11T07:10:21.619Z,HOMEUSDT,close,-a+b,200,sell,buy,19.0,27.0,8.0,8.0,-19.0,-27.0,0.03786,0.03782,0.03777,0.03792,0.007999999999999674,0.03000000000000086,0.03800000000000053,-0.02757400000000043
61,2026-06-11T07:34:23.301Z,HOMEUSDT,add,+a-b,200,buy,sell,17.0,21.0,4.0,4.0,-17.0,-21.0,0.03671,0.03674,0.03696,0.03686,0.006000000000000449,0.020000000000000573,0.026000000000001022,0.01663999999999799
62,2026-06-11T08:44:59.402Z,SKYAIUSDT,close,-a+b,30,sell,buy,20.0,27.0,7.0,7.0,-20.0,-27.0,0.19321,0.19315,0.19252,0.1936,0.0018000000000001348,0.03239999999999993,0.034200000000000064,-0.019301249999999825
63,2026-06-11T08:57:52.403Z,SKYAIUSDT,close,-a+b,30,sell,buy,21.0,26.0,5.0,5.0,-21.0,-26.0,0.21034,0.21153,0.20967,0.21222,-0.0356999999999999,0.0764999999999999,0.0408,-0.0271562999999988
64,2026-06-11T09:00:40.696Z,SKYAIUSDT,close,-a+b,30,sell,buy,13.0,13.0,0.0,0.0,-13.0,-13.0,0.20767,0.2074,0.20688,0.20782,0.008099999999999774,0.028199999999999892,0.036299999999999666,-0.01882830000000002
65,2026-06-11T09:01:08.919Z,SKYAIUSDT,close,-a+b,30,sell,buy,30.0,33.0,3.0,3.0,-30.0,-33.0,0.21335,0.21301,0.21289,0.21348,0.010200000000000209,0.017700000000000216,0.027900000000000424,-0.020497349999999415
66,2026-06-11T09:01:39.020Z,SKYAIUSDT,add,-a+b,30,sell,buy,18.0,41.0,23.0,23.0,-18.0,-41.0,0.21467,0.21471,0.21335,0.21527,-0.0012000000000003674,0.05759999999999932,0.05639999999999895,-0.02324970000000004
67,2026-06-11T09:02:13.391Z,SKYAIUSDT,add,-a+b,30,sell,buy,26.0,29.0,3.0,3.0,-26.0,-29.0,0.21691,0.21643,0.21611,0.21664,0.014399999999999413,0.01590000000000008,0.030299999999999494,-0.012796050000000392
68,2026-06-11T09:05:44.395Z,SKYAIUSDT,close,+a-b,30,buy,sell,19.0,23.0,4.0,4.0,-19.0,-23.0,0.21672,0.21679,0.2176,0.21682,0.002100000000000435,0.023399999999999255,0.02549999999999969,-0.005604149999999919
69,2026-06-11T09:07:48.291Z,HOMEUSDT,close,-a+b,200,sell,buy,18.0,19.0,1.0,1.0,-18.0,-19.0,0.03271,0.03273,0.03256,0.03279,-0.003999999999999837,0.04600000000000021,0.04200000000000037,-0.01855199000000063
70,2026-06-11T09:37:57.489Z,HOMEUSDT,add,+a-b,200,buy,sell,18.0,27.0,9.0,9.0,-18.0,-27.0,0.03565,0.03553,0.03588,0.03564,-0.02400000000000041,0.04800000000000082,0.02400000000000041,0.014882999999999313
71,2026-06-11T10:01:57.714Z,SKYAIUSDT,close,+a-b,30,buy,sell,19.0,21.0,2.0,2.0,-19.0,-21.0,0.21732,0.21777,0.21811,0.21779,0.013499999999999346,0.009599999999999609,0.023099999999998955,-0.005933399999999978
72,2026-06-11T10:40:48.786Z,EPICUSDT,open,-a+b,12,sell,buy,20.0,26.0,6.0,6.0,-20.0,-26.0,0.6061,0.6111,0.6026,0.6128,-0.06000000000000005,0.12239999999999984,0.06239999999999979,-0.027743400000000307
73,2026-06-11T10:41:14.332Z,EPICUSDT,close,+a-b,12,buy,sell,21.0,23.0,2.0,2.0,-21.0,-23.0,0.6076,0.6052,0.6098,0.6054,-0.028800000000000825,0.052799999999999514,0.02399999999999869,-0.004863599999999302
74,2026-06-11T10:45:35.363Z,BTWUSDT,open,+a-b,100,buy,sell,18.0,26.0,8.0,8.0,-18.0,-26.0,0.08961,0.0895874,0.090177,0.089563,-0.002259999999999762,0.061399999999998955,0.05913999999999919,-0.011397519999999162
75,2026-06-11T10:51:29.609Z,BTWUSDT,close,-a+b,100,sell,buy,17.0,19.0,2.0,2.0,-17.0,-19.0,0.08617,0.08538,0.085984,0.085403,0.0789999999999999,-0.05809999999999982,0.020900000000000085,-0.010839150000000686
76,2026-06-11T10:59:16.722Z,BTWUSDT,open,+a-b,100,buy,sell,18.0,26.0,8.0,8.0,-18.0,-26.0,0.08113,0.0814,0.081705,0.081454,0.027000000000000635,0.025100000000000122,0.05210000000000076,-0.002742700000000653
77,2026-06-11T10:59:40.644Z,BTWUSDT,add,+a-b,100,buy,sell,14.0,15.0,1.0,1.0,-14.0,-15.0,0.08179,0.0819562,0.082531,0.081742,0.016620000000000523,0.0788999999999998,0.09552000000000033,-0.02960490000000071
78,2026-06-11T11:22:49.591Z,SKYAIUSDT,open,+a-b,30,buy,sell,39.0,47.0,8.0,8.0,-39.0,-47.0,0.229,0.22931,0.23118,0.22864,0.009300000000000141,0.0761999999999996,0.08549999999999974,-0.026969249999998723
79,2026-06-11T11:44:33.509Z,EPICUSDT,open,-a+b,12,sell,buy,29.0,37.0,8.0,8.0,-29.0,-37.0,0.6143,0.6158,0.6104,0.6181,-0.018000000000000682,0.09239999999999915,0.07439999999999847,-0.03500339999999991
80,2026-06-11T11:44:36.721Z,EPICUSDT,close,+a-b,12,buy,sell,1.0,9.0,8.0,8.0,-1.0,-9.0,0.6144,0.6141,0.6157,0.6149,-0.0035999999999996035,0.009600000000000275,0.0060000000000006715,0.0022260000000002833
81,2026-06-11T12:22:38.586Z,BTWUSDT,close,-a+b,100,sell,buy,13.0,132.0,119.0,119.0,-13.0,-132.0,0.09016,0.09015,0.08996,0.089959,0.001000000000001,-0.00010000000000010001,0.0009000000000009001,0.01009455000000159
82,2026-06-11T12:27:28.819Z,BTWUSDT,close,-a+b,100,sell,buy,13.0,33.0,20.0,20.0,-13.0,-33.0,0.09043,0.09042,0.090244,0.090314,0.0009999999999996123,0.007000000000000062,0.007999999999999674,0.0015632999999972697
83,2026-06-11T12:55:36.584Z,BTWUSDT,open,+a-b,100,buy,sell,17.0,25.0,8.0,8.0,-17.0,-25.0,0.09492,0.0948638,0.095634,0.094968,-0.0056200000000006245,0.06659999999999999,0.06097999999999937,0.0009284100000002127
84,2026-06-11T13:17:44.496Z,BTWUSDT,close,-a+b,100,sell,buy,3.0,3.0,0.0,0.0,-3.0,-3.0,0.09246,0.092479,0.092209,0.092546,-0.0019000000000005124,0.033700000000000396,0.031799999999999884,-0.01595124999999875
85,2026-06-11T13:32:40.422Z,EPICUSDT,open,-a+b,12,sell,buy,8.0,17.0,9.0,9.0,-8.0,-17.0,0.6515,0.6551,0.6482,0.6552,-0.04320000000000057,0.08400000000000007,0.0407999999999995,-0.009061800000000453
86,2026-06-11T13:32:45.490Z,EPICUSDT,close,+a-b,12,buy,sell,3.0,37.0,34.0,34.0,-3.0,-37.0,0.6588,0.6584,0.6606,0.6596,-0.004800000000000804,0.01200000000000001,0.007199999999999207,0.00649199999999972
87,2026-06-11T13:45:34.585Z,BTWUSDT,open,-a+b,100,sell,buy,13.0,40.0,27.0,27.0,-13.0,-40.0,0.09345,0.09327,0.092696,0.093323,0.01799999999999996,0.06270000000000026,0.08070000000000022,-0.014629649999999828
88,2026-06-11T13:45:35.920Z,BTWUSDT,close,+a-b,100,buy,sell,8.0,38.0,30.0,30.0,-8.0,-38.0,0.09313,0.09316,0.093302,0.093117,0.0030000000000002247,0.018499999999999073,0.021499999999999297,-0.013613850000000483
89,2026-06-11T13:45:51.890Z,BTWUSDT,add,+a-b,100,buy,sell,21.0,26.0,5.0,5.0,-21.0,-26.0,0.09306,0.0927946,0.09361,0.092985,-0.026539999999999897,0.06250000000000006,0.03596000000000016,0.009751030000000327
90,2026-06-11T14:08:50.358Z,BTWUSDT,open,+a-b,100,buy,sell,18.0,25.0,7.0,7.0,-18.0,-25.0,0.08554,0.0854036,0.08617,0.085471,-0.013640000000000874,0.06989999999999913,0.056259999999998256,-0.0018037300000006695
